Date,Price,Open,High,Low,Change %
2023-08-28,30.9036,30.9163,30.9563,30.8382,0.50%
2023-08-27,30.75,30.9499,30.9499,30.8,-0.48%
2023-08-25,30.899,30.9005,30.9127,30.8819,0.16%
2023-08-24,30.85,30.9,30.9499,30.8,0.00%
2023-08-23,30.85,30.8,30.9499,30.8,0.00%
2023-08-22,30.85,30.9,30.9499,30.8,0.00%
2023-08-21,30.85,30.9,30.9499,30.8,-0.16%
2023-08-20,30.9,30.9,30.9499,30.8,0.02%
2023-08-18,30.8925,30.8898,30.9698,30.835,0.14%
2023-08-17,30.85,30.9,30.9499,30.8,0.00%
2023-08-16,30.85,30.9,30.9499,30.8,0.00%
2023-08-15,30.85,30.9,30.9499,30.8,0.00%
2023-08-14,30.85,30.9,30.9499,30.8,-0.18%
2023-08-11,30.9049,30.9,30.9137,30.887,0.18%
2023-08-10,30.85,30.8,30.9499,30.8,0.00%
2023-08-09,30.85,30.9,30.9499,30.8,0.00%
2023-08-08,30.85,30.9,30.9499,30.8,0.00%
2023-08-07,30.85,30.8,30.9499,30.8,-0.37%
2023-08-04,30.9632,30.9496,30.9772,30.9334,0.04%
2023-08-03,30.9499,30.9499,30.9499,30.8,0.32%
2023-08-02,30.85,30.8,30.9499,30.8,0.00%
2023-08-01,30.85,30.9,30.9499,30.8,0.00%
2023-07-31,30.85,30.9,30.9499,30.8,0.00%
2023-07-29,30.85,30.9,30.9,30.9,-0.15%
2023-07-28,30.8973,30.9074,30.9188,30.8555,0.15%
2023-07-27,30.85,30.9,30.9499,30.8,0.00%
2023-07-26,30.85,30.9,30.9499,30.8,0.00%
2023-07-25,30.85,30.9,30.9499,30.8,0.00%
2023-07-24,30.85,30.9,30.9499,30.8,0.00%
2023-07-22,30.85,30.9,30.9,30.9,0.18%
2023-07-21,30.7932,30.8044,30.8127,30.7875,-0.04%
2023-07-20,30.8044,30.7967,30.895,30.789,0.18%
2023-07-19,30.75,30.9,30.9499,30.8,-0.32%
2023-07-18,30.85,30.9,30.9499,30.8,0.00%
